연번,시군명,시설명,주소
363,창원시,구복남성경로당,마산합포구 구산면 구복길 74(구산면)
364,창원시,구복여성경로당,마산합포구 구산면 구복길 74(구산면)
365,창원시,구산경로당,마산합포구 구산면 해양관광로 1432(구산면)
366,창원시,구산음달경로당,마산합포구 구산면 구산로 566-1(구산면)
367,창원시,군령경로당,마산합포구 구산면 석곡로 39(구산면)
368,창원시,난포경로당,마산합포구 구산면 난포1길 36(구산면)
369,창원시,내포남성경로당,마산합포구 구산면 내포2길 95(구산면)
370,창원시,내포여성경로당,마산합포구 구산면 내포2길 110(구산면)
371,창원시,명주경로당,마산합포구 구산면 해양관광로 933(구산면)
372,창원시,반동남성경로당,마산합포구 구산면 반동길 88(구산면)
373,창원시,반동여성경로당,마산합포구 구산면 반동길 90-1(구산면)
374,창원시,상마전경로당,마산합포구 구산면마전길 317-4(구산면)
375,창원시,석곡경로당,마산합포구 구산면 아랫석곡길 26(구산면)
376,창원시,수정남성경로당,마산합포구 구산면 구산로 566-1(구산면)
377,창원시,수정여성경로당,마산합포구 구산면 구산로 566-1(구산면)
378,창원시,신촌경로당,마산합포구 구산면 구산신촌2길 45(구산면)
379,창원시,실리도경로당,마산합포구 구산면 실리섬길 13(구산면)
380,창원시,심리경로당,마산합포구 구산면 심리1길 40-1(구산면)
381,창원시,안녕경로당,마산합포구 구산면 안녕로 139(구산면)
382,창원시,양평경로당,마산합포구 구산면 양평길 59-17(구산면)
383,창원시,옥계남성경로당,마산합포구 구산면 옥계로 304(구산면)
384,창원시,옥계여성경로당,마산합포구 구산면 옥계로 304(구산면)
385,창원시,용호경로당,마산합포구 구산면 윗용호길 9(구산면)
386,창원시,욱곡남성경로당,마산합포구 구산면 욱곡1길 19(구산면)
387,창원시,욱곡여성경로당,마산합포구 구산면 욱곡1길 19(구산면)
388,창원시,원전경로당,마산합포구 구산면 이순신로 701(구산면)
389,창원시,유산경로당,마산합포구 구산면 유산1길 11(구산면)
390,창원시,유천경로당,마산합포구 구산면 유천길 84(구산면)
391,창원시,장구경로당,마산합포구 구산면 장구길 24-35(구산면)
392,창원시,하마전경로당,마산합포구 구산면마전길 53(구산면)
393,창원시,진동경로당,마산합포구 진동면 성산길 56(진동면)
394,창원시,진동서촌1구경로당,마산합포구 진동면 진동시장길 24-21(진동면)
395,창원시,고현경로당,마산합포구 진동면 미더덕로 358-11(진동면)
396,창원시,광암경로당,마산합포구 진동면 광암해안길 6(진동면)
397,창원시,동촌1구경로당,마산합포구 진동면 문화마당길 11-14(진동면)
398,창원시,서촌2구경로당,마산합포구 진동면 서동촌길 2-9(진동면)
399,창원시,서촌3구경로당,마산합포구 진동면 서촌바다길 46(진동면)
400,창원시,교동경로당,마산합포구 진동면 교동3길 40-10(진동면)
401,창원시,입곡경로당,마산합포구 진동면 입곡길 319-12(진동면)
402,창원시,죽전남성경로당,마산합포구 진동면 죽전안담길 4(진동면)
403,창원시,죽전여성경로당,마산합포구 진동면 죽전안담길 4(진동면)
404,창원시,신기경로당,마산합포구 진동면 신기남산길 105(진동면)
405,창원시,성산남자경로당,마산합포구 진동면 성산안길 3(진동면)
406,창원시,성산여자경로당,마산합포구 진동면 성산안길 3(진동면)
407,창원시,혜창아파트경로당,마산합포구 진동면 요장1길 29(진동면)
408,창원시,장기경로당,마산합포구 진동면 미더덕로 311(진동면)
409,창원시,건우아파트경로당,마산합포구 진동면 서촌바다길 108(진동면)
410,창원시,사동1구경로당,마산합포구 진동면 사동길 110-5(진동면)
411,창원시,동전경로당,마산합포구 진동면 동전길 353-21(진동면)
412,창원시,묵지경로당,마산합포구 진동면 묵지길 155(진동면)
