연번,시군명,시설명,주소,분회명,회원수,운영형태
1275,진주시,두산위브경로당,진주시 금산면 중장로154번길 49(두산위브A) ,금산면,27,남여혼합
1276,진주시,진흥더루벤스경로당,진주시 금산면 금산로 22(진흥더루벤스) ,금산면,25,남여혼합
1277,진주시,지내경로당,진주시 지내길 117번길 2 ,대곡면,42,남여혼합
1278,진주시,현동경로당,진주시 지내길 217 ,집현면,63,남여혼합
1279,진주시,봉강경로당,진주시 진산로 645번길 26 ,집현면,54,남여혼합
1280,진주시,원동경로당,진주시 진주성로 735 ,일반성,29,남여혼합
1281,진주시,사촌경로당,진주시 진주성로 348번길 25 ,집현면,50,남여혼합
1282,진주시,기동경로당,진주시 진주성로 414번길 7-7 ,집현면,45,남여혼합
1283,진주시,대암경로당,진주시 진산로 1165번길 17 ,집현면,57,남여혼합
1284,진주시,혈암경로당,진주시 진산로 1034 ,집현면,77,남여혼합
1285,진주시,정평경로당,진주시 응석로 220 ,집현면,41,남여혼합
1286,진주시,평방경로당,진주시 응석로 95 ,집현면,22,남여혼합
1287,진주시,정수경로당,진주시 진산로1391번길 6-1 ,집현면,61,남여혼합
1288,진주시,냉정경로당,진주시 냉정길 267 ,집현면,50,남여혼합
1289,진주시,장흥경로당,진주시 진산로 487번길 11 ,집현면,45,남여혼합
1290,진주시,월평경로당,진주시 신당길50번길 18-1 ,집현면,52,남여혼합
1291,진주시,신당경로당,진주시 신당길 129 ,지수면,34,남여혼합
1292,진주시,죽산경로당,진주시 신당길 210 ,이반성,29,남여혼합
1293,진주시,오동경로당,진주시 향양로 89번길 38 ,이반성,32,남여혼합
1294,진주시,덕오경로당,진주시 향양로 75번길 18-3 ,집현면,24,남여혼합
1295,진주시,불너머경로당,진주시 불너머길 280번길 1 ,집현면,33,남여혼합
1296,진주시,평촌경로당,진주시 남강로 2042-4 ,집현면,34,남여혼합
1297,진주시,덕성경로당,진주시 향양로 217번길 62-2 ,집현면,38,남여혼합
1298,진주시,금빛경로당,진주시 진산로 675(금빛현대아파트) ,집현면,89,남여혼합
1299,진주시,동향경로당,진주시 향양로788번길 4 ,미천면,27,남여혼합
1300,진주시,개심경로당,진주시 향양로 666 ,미천면,30,남여혼합
1301,진주시,장죽경로당,진주시 향양로 576-1 ,미천면,27,남여혼합
1302,진주시,반지경로당,진주시 향양로 448 ,미천면,43,남여혼합
1303,진주시,삭성경로당,진주시 향양로365번길 24 ,미천면,16,남여혼합
1304,진주시,오방경로당,진주시 오방로 711 ,미천면,54,남여혼합
1305,진주시,점촌경로당,진주시 오방로 552 ,미천면,31,남여혼합
1306,진주시,성호경로당,진주시 오방로311번길 6 ,미천면,31,남여혼합
1307,진주시,정호경로당,진주시 오방로199번길 49 ,미천면,32,남여혼합
1308,진주시,정별경로당,진주시 오방로371번길 27 ,미천면,35,남여혼합
1309,진주시,정성경로당,진주시 오방로441번길 13 ,미천면,43,남여혼합
1310,진주시,어옥경로당,진주시 어옥로 178 ,미천면,61,남여혼합
1311,진주시,덕진경로당,진주시 널방재길195번길 31 ,미천면,22,남여혼합
1312,진주시,대곡경로당,진주시 상미로 469 ,미천면,34,남여혼합
1313,진주시,기전경로당,진주시 상미로 303 ,미천면,22,남여혼합
1314,진주시,신촌경로당,진주시 상미로 198 ,문산읍,42,남여혼합
1315,진주시,미곡경로당,진주시 상미로 71 ,미천면,48,남여혼합
1316,진주시,북동경로당,진주시 오방로1088번길 42 ,미천면,39,남여혼합
1317,진주시,내인경로당,진주시 오방로 1099-4 ,미천면,31,남여혼합
1318,진주시,내리실경로당,진주시 진산로1623번길 12 ,미천면,13,남여혼합
1319,진주시,임곡경로당,진주시 미천면 안간길 70 ,미천면,42,남여혼합
1320,진주시,정촌경로당,진주시 효자길23번길 8 ,미천면,24,남여혼합
1321,진주시,효자경로당,진주시 효자길 158-1 ,미천면,24,남여혼합
1322,진주시,관지경로당,진주시 관덕길28번길 1,명석면,56,남여혼합
1323,진주시,신촌경로당,진주시 광제산로 283,문산읍,42,남여혼합
1324,진주시,신촌정자경로당,진주시 남성로 33-5,명석면,17,남여혼합
1325,진주시,삭평경로당,진주시 광제산로108번길 5,명석면,25,남여혼합
1326,진주시,왕지경로당,진주시 남성로128번길 30,명석면,43,남여혼합
1327,진주시,왕지동성경로당,진주시 한치골길230번길 36-1,명석면,19,남여혼합
1328,진주시,추동경로당,진주시 남성로 217,명석면,40,남여혼합
1329,진주시,남성경로당,진주시 남성로 443,금산면,95,남여혼합
1330,진주시,장흥경로당,진주시 남성로689번길 99,집현면,45,남여혼합
1331,진주시,덕곡경로당,진주시 관덕길126번길 5,대곡면,57,남여혼합
1332,진주시,토담경로당,진주시 관덕길187번길 24-2,명석면,30,남여혼합
1333,진주시,계원경로당,진주시 광제산로 650,명석면,39,남여혼합
1334,진주시,계원갈전경로당,진주시 관덕길261번길 9,명석면,18,남여혼합
1335,진주시,홍지경로당,진주시 광제산로 743,명석면,37,남여혼합
1336,진주시,신기경로당,진주시 광제산로 936,일반성,55,남여혼합
1337,진주시,동전경로당,진주시 광제산로 833번길 8,명석면,45,남여혼합
1338,진주시,외율경로당,진주시 외율길37,명석면,99,남여혼합
1339,진주시,내율경로당,진주시 외율길207번길7-1,명석면,24,남여혼합
1340,진주시,팔미경로당,진주시 팔미길13번길 25-8,명석면,42,남여혼합
1341,진주시,내팔미경로당,진주시 팔미길 135-43,명석면,23,남여혼합
1342,진주시,오미경로당,진주시 진주대로 2136-6,명석면,33,남여혼합
